"","x"
"80","https://www.isa.org.jm/news/isa-legal-technical-commission-meets-kingston"
"81","https://www.isa.org.jm/news/isaiom-host-joint-workshop-warsaw-poland"
"82","https://www.isa.org.jm/news/legal-and-technical-commission-meets-kingston"
"83","https://www.isa.org.jm/news/isa-selects-five-candidates-internships-offered-ifremer"
"84","https://www.isa.org.jm/news/extension-deadline-submission-written-comments-and-proposals-isa-council-members-first-draft"
"85","https://www.isa.org.jm/news/high-level-regional-workshop-boosts-participation-pacific-island-countries-deep-sea-activities"
"86","https://www.isa.org.jm/news/isa-announces-uksrl-training-programme"
"87","https://www.isa.org.jm/news/seabed-council-discusses-regulatory-framework-mineral-exploitation"
"88","https://www.isa.org.jm/news/poland-applies-approval-plan-work-exploration-polymetallic-sulphides"
"89","https://www.isa.org.jm/news/five-applications-exploration-contracts-filed-international-seabed-authority"
"90","https://www.isa.org.jm/news/isa-celebrates-world-oceans-day-2020-global-un-event-innovation-sustainable-ocean"
"91","https://www.isa.org.jm/news/permanent-representative-japan-presents-credentials-international-seabed-authority"
"92","https://www.isa.org.jm/news/1st-part-25th-annual-session-international-seabed-authority-isa"
"93","https://www.isa.org.jm/news/china-applies-approval-plan-work-exploration-polymetallic-nodules"
"94","https://www.isa.org.jm/news/un-ohrlls-and-isa-highlight-capacity-building-initiatives-women-marine-scientific-research"
"95","https://www.isa.org.jm/news/secretary-generals-statement-united-nations-75"
"96","https://www.isa.org.jm/news/isa-delegation-visits-poland"
"97","https://www.isa.org.jm/news/call-applications-republic-korea-contractor-training-opportunities"
"98","https://www.isa.org.jm/news/international-seabed-authority-ends-seventeenth-session-kingston"
"99","https://www.isa.org.jm/news/ambassador-federal-republic-germany-presents-credentials-secretary-general"
"100","https://www.isa.org.jm/news/ambassador-cecilia-jaber-presents-credentials-authority"
"101","https://www.isa.org.jm/news/international-seabed-authority-tongji-university-announces-scholarship-programme"
"102","https://www.isa.org.jm/news/jihyun-lee-korea-appointed-director-international-seabed-authority"
"103","https://www.isa.org.jm/news/ambassador-bangladesh-presents-credentials-international-seabed-authority"
"104","https://www.isa.org.jm/news/head-eu-delegation-jamaica-presents-credentials-isa"
"105","https://www.isa.org.jm/news/international-seabed-authority-secretariat-updates-member-states-progress-data-management"
"106","https://www.isa.org.jm/news/commercialization-marine-minerals-deep-seabed-well-within-reach-international-seabed-authority"
"107","https://www.isa.org.jm/news/supporting-africa%E2%80%99s-blue-economy-through-sustainable-development-deep-seabed-resources"
"108","https://www.isa.org.jm/news/un-oceans-holds-16th-meeting-kingston"
"109","https://www.isa.org.jm/news/legal-technical-commission-and-finance-committee-hold-joint-meeting-isa-24th-session"
"110","https://www.isa.org.jm/news/rear-admiral-alam-bangladesh-elected-president-26th-session-isa-council"
"111","https://www.isa.org.jm/news/isa-and-ocean-mineral-singapore-pte-ltd-sign-exploration-contract-polymetallic-nodules-reserved"
"112","https://www.isa.org.jm/news/high-level-webinar-be-held-17-november-2020-present-draft-isa-marine-scientific-research"
"113","https://www.isa.org.jm/news/isa-secretary-general-addresses-26th-meeting-states-parties-unclos"
"114","https://www.isa.org.jm/news/seabed-authority-begins-15th-session-kingston"
"115","https://www.isa.org.jm/news/isa-secretary-general-highlights-process-regulatory-development-well-need-establish-additional"
"116","https://www.isa.org.jm/news/seabed-council-reviews-draft-regulations"
"117","https://www.isa.org.jm/news/isa-opens-twenty-first-session-kingston"
"118","https://www.isa.org.jm/news/isa-secretary-general-welcomes-growing-interest-deep-seabed-mining-positive-development"
"119","https://www.isa.org.jm/news/isa-review-committee-meets-kingston"
"120","https://www.isa.org.jm/news/applications-now-open-two-geological-and-environmental-sea-training-opportunities-toml"
"121","https://www.isa.org.jm/news/argentina-champion-isa-draft-marine-scientific-research-action-plan-support-un-decade-ocean"
"122","https://www.isa.org.jm/news/isa-registers-seven-voluntary-commitments-support-implementation-sdg14-2017-ocean-conference"
"123","https://www.isa.org.jm/news/cook-islands-investment-corporation-signs-exploration-contract-international-seabed-authority"
"124","https://www.isa.org.jm/news/message-secretary-general-michael-lodge-occasion-international-day-biological-diversity-2018"
"125","https://www.isa.org.jm/news/deadline-comments-working-draft-exploitation-regulations-extended"
"126","https://www.isa.org.jm/news/isa-reaches-milestone-approval-plans-work-exploration-cobalt-rich-ferromanganese-crusts"
"127","https://www.isa.org.jm/news/seabed-council-approves-four-applications-exploratory-contracts-authority-deep-seabed-area"
"128","https://www.isa.org.jm/news/state-oceanic-administrator-china-pays-visit-international-seabed-authority"
"129","https://www.isa.org.jm/news/isa-council-approves-five-new-applications-exploration"
"130","https://www.isa.org.jm/news/delegation-saudi-arabia-pay-field-visit-authority"
"131","https://www.isa.org.jm/news/isa-highlights-sustainable-development-milestones-73rd-session-un-general-assembly"
"132","https://www.isa.org.jm/news/isa-host-webinars-comparative-analysis-financial-aspects-seabed-mining-and-land-based-mining"
"133","https://www.isa.org.jm/news/russia-signs-exploration-contract-isa"
