"","x"
"55","https://www.gov.br/capes/pt-br/assuntos/noticias/manuscritos-e-textos-datilografados-testemunham-surgimento-da-capes"
"56","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-vai-padronizar-mobilidades-academicas-internacionais"
"57","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-e-uema-oferecem-capacitacao-gratuita-a-professores"
"58","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-apresenta-a-academia-modelo-de-avaliacao-multidimensional"
"59","https://www.gov.br/capes/pt-br/assuntos/noticias/pesquisa-estuda-efeitos-neuropsiquiatricos-da-covid-19"
"60","https://www.gov.br/capes/pt-br/acesso-a-informacao/perguntas-frequentes/sobre-a-cap"
"61","https://www.gov.br/capes/pt-br/assuntos/noticias/numero-de-doutoras-cresce-61-em-seis-anos"
"62","https://www.gov.br/capes/pt-br/acesso-a-informacao/institucional/competencias"
"63","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-da-vida/ciencias-da-saude/educacao-fisica"
"64","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-ja-investiu-r-53-7-milhoes-em-programa-de-combate-a-covid-19"
"65","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-da-vida/ciencias-da-saude/medicina-i"
"66","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-regulamenta-polos-para-mestrado-e-doutorado-ead"
"67","https://www.gov.br/capes/pt-br/assuntos/noticias/para-pretende-abrir-programas-de-doutorado"
"68","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/avaliacao/sobre-a-avaliacao/areas-avaliacao/sobre-as-areas-de-avaliacao/colegio-de-ciencias-exatas-tecnologicas-e-multidisciplinar/multidisciplinar/interdisciplinar"
"69","https://www.gov.br/capes/pt-br/assuntos/noticias/programa-para-o-semiarido-valoriza-vocacoes-regionais"
"70","https://www.gov.br/capes/pt-br/assuntos/noticias/estudo-analisa-interacao-entre-covid-19-e-arboviroses"
